#MPRN: 10005282085
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-04-01,0,0,0,0.0575,1.644,1.6555,1.657,1.663,1.671,1.675,1.124,0.227,0.0105,0.008,0.01,0.0085,0,0,0.0075,0.009,0.0095,0.009,0.0095,0.0085,0.009,0.01,0.009,0.01,0.009,0,0,0.013,0.0095,0.011,0.0105,0.0125,0.009,0.0095,0.009,0.0085,0.0085,0.0075,0.008,0.01,0.0085,0.0085,0.009,0.0085
2024-04-02,0.0855,0.2535,0.2335,0.261,1.633,1.6455,1.6475,1.6645,1.673,1.681,0.369,0.2345,0.0085,0.009,0.0105,0.0085,0.0005,0,0.0005,0.0205,0.011,0.01,0.003,0,0,0,0,0,0.0115,0,0.0025,0.0245,0.015,0.0075,0,0.0025,0.005,0.012,0.011,0.008,0.0095,0.0095,0.009,0.009,0.008,0.009,0.008,0.01
2024-04-03,0,0,0,0.0315,1.6385,1.651,1.647,1.679,1.675,1.69,0.9815,0.244,0.0085,0.009,0.009,0.0085,0.0005,0,0.006,0.01,0.0085,0.038,0.029,0.0115,0.016,0.014,0,0,0,0,0.0015,0.011,0.014,0.0105,0,0.0005,0.007,0.009,0.009,0.009,0.0105,0.009,0.0085,0.0095,0.0105,0.0085,0.0095,0.0085
2024-04-04,0,0,0,0.0065,1.643,2.1705,3.883,2.6975,1.667,1.673,0.991,0.229,0.0085,0.009,0.009,0.009,0,0,0.005,0.009,0.0075,0.01,0.009,0.0105,0.0105,0.002,0,0,0,0,0.003,0.0105,0.009,0.011,0.0095,0.0095,0.012,0.0085,0.008,0.01,0.0085,0.009,0.0095,0.007,0.008,0.0085,0.0085,0.009
2024-04-05,0,0,0.2345,0.2465,1.6635,1.633,1.663,1.6595,1.6815,0.997,0.2325,0.219,0.0095,0.008,0.0095,0.0105,0,0,0.0125,0.038,0.031,0.0575,0.0205,0.015,0.0145,0.0155,0.0645,0.0695,0.071,0.0485,0.045,0.069,0.179,0,0,0,0.0085,0.0105,0.0095,0.0325,0.483,0.1935,0.12,0.0195,0.02,0.519,0.5095,0.4415
2024-04-06,0.5305,1.873,1.2525,0.9945,4.128,4.1485,4.1435,4.201,4.1885,4.1555,4.018,2.766,0.0995,0.0545,0.05,0.066,0.002,0,0.146,0.0085,0.0425,0.07,0.0845,0.076,0.0615,0.065,0.0665,0.115,0.124,0.0005,0.0035,0.1085,0.019,0.01,0.003,0.017,0.0205,0.026,0.4095,0.0075,0.0705,0.052,0.109,0.05,0.051,0.0545,0.0525,0.272
2024-04-07,0.6545,0.441,0.4735,0.4635,2.1655,2.0355,2.4195,1.828,1.807,1.7895,1.2925,0.2915,0.0125,0.0115,0.0105,0.011,0,0,0.013,0.0125,0,0,0.1095,0.058,0,0,0.002,0,0,0,0,0.0265,0,0.005,0.002,0.006,0.047,0.1245,0.81,0.0995,0.008,0.043,0.0535,0.0495,0.0545,0.0355,0.287,0.414
2024-04-08,0.371,0.422,0.413,0.378,4.249,3.9405,3.925,3.943,3.947,3.933,3.4905,2.4875,0.0575,0.0115,0.1055,0.1435,0,0,0.0275,0.049,0.049,0.0495,0.047,0.049,0.014,0.007,0.0085,0,0,0.315,0.2865,0.3285,0.2635,0.0525,0.051,0.0455,0.822,1.334,1.596,1.4045,0.787,0.752,0.5115,0.3795,0.398,0.465,0.353,0.492
2024-04-09,0.402,0.342,0.7575,0.7115,4.6955,4.474,3.984,4.28,4.327,3.9645,2.9205,2.482,0.0545,0.0095,0.0395,0.1085,0,0,0.059,0.137,0.112,0.08,0.0365,0.037,0.0075,0,0.0345,0.192,0.005,0.092,0.1185,0.0705,0.011,0.023,0.0575,0.051,0.118,0.2685,0.053,0.048,0.042,0.051,0.052,0.0515,0.0505,0.0545,0.0535,0.5975
2024-04-10,0.5245,0.358,0.3135,0.359,4.3635,4.028,4.682,4.001,3.998,4.023,3.437,2.555,0.045,0.0125,0.0185,0.186,0.1235,0,0.0275,0.0475,0.0435,0.0145,0.0175,0.0525,0.054,0.0495,0.0575,0.052,0.042,0,0.0115,0.039,0.02,0,0,0.018,0.0535,0.374,0.1205,0.012,0.011,0.012,0.0385,0.054,0.0525,0.049,0.0245,0.0155
2024-04-11,0.166,0.319,0.3315,0.3305,1.6925,1.707,1.689,1.7235,1.7405,1.7295,1.206,0.5285,0.0115,0.014,0.026,0,0,0,0.03,0.0305,0.0045,0,0,0.0175,0.0245,0.002,0.014,0.018,0.0565,0.0535,0.0525,0.0595,0.0445,0.0525,0.0175,0.041,0.085,0.6115,0.176,0.0605,0.0365,0.0935,0.0985,0.1125,0.599,0.6235,0.572,0.636
2024-04-12,0.519,0.345,0.354,0.411,4.175,4.232,4.226,4.2455,4.276,4.2775,3.7705,2.9565,0.06,0.0125,0.0525,0.0865,0.144,0.018,0.036,0.064,0.0515,0.05,0.047,0.0135,0.0235,0.045,0.0515,0.05,0.001,0,0,0.0175,0.0165,0.0015,0.0015,0.0175,0.2115,0.511,0.048,0.046,0.0485,0.0275,0.011,0.0595,0.213,0.6655,0.8255,0.355
2024-04-13,0.3,0.292,0.285,0.317,4.0575,4.0955,4.1155,4.128,4.125,4.1455,3.4765,2.88,0.056,0.0125,0.0095,0,0,0,0.039,0.0395,0.063,0.05,0,0.003,0.0015,0.0165,0.023,0.016,0.0175,0.018,0.01,0,0,0,0.0005,0.032,0.06,0.134,0.133,0.051,0.05,0.0585,0.051,0.045,0.0515,0.0155,0.062,0.086
2024-04-14,0.5855,0.4255,0.421,0.5695,3.0685,2.643,2.8075,2.719,2.455,2.469,2.032,1.2445,0.013,0.0105,0,0,0,0,0.0225,0.061,0.038,0.0315,0.03,0,0,0,0,0,0,0,0,0.0045,0.01,0,0.0035,0.065,0.055,0.049,0.0615,0.0425,0.044,0.008,0.041,0.047,0.059,0.0535,0.0485,0.0425
2024-04-15,0.0065,0.21,0.352,0.4155,1.6915,1.6715,1.697,1.677,1.706,1.7095,1.1635,0.4925,0.0085,0.0075,0,0.027,0,0,0.043,0.059,0.0355,0.0135,0.0095,0.014,0.0165,0.093,0.061,0.041,0.039,0.0245,0.068,0.266,0.28,0.151,0.064,0.071,0.188,0.378,0.05,0.0485,0.049,0.0585,0.0095,0.05,0.0535,0.052,0.2015,0.4565
2024-04-16,0.469,0.4695,0.4225,0.6165,2.0125,2.1375,2.065,1.753,1.76,1.7585,1.3455,0.5435,0.008,0.0075,0.256,0.0725,0,0.006,0.033,0.0595,0.049,0.061,0.054,0.0285,0.023,0.021,0.016,0.0175,0.009,0.0285,0.0595,0.0375,0.0315,0.0085,0.0435,0.0555,0.079,0.0635,0.123,0.0745,0.0485,0.053,0.0585,0.059,0.0225,0.035,0.0175,0.014
2024-04-17,0.299,0.402,0.8715,0.9125,4.3885,4.6715,4.2145,4.728,4.0065,3.9985,3.3935,2.7345,0.055,0.014,0.005,0.1825,0.002,0.0005,0.0295,0.0485,0.055,0.0495,0.0555,0.052,0.053,0.0605,0.054,0.056,0.0515,0.0535,0.015,0.0165,0.044,0.0385,0.014,0.057,0.153,0.432,0.1475,0.0405,0.168,0.072,0.2355,0.5035,0.713,0.639,0.5295,0.5295
2024-04-18,0.4445,0.512,0.386,0.823,2.6845,2.728,3.142,2.8605,3.2525,2.8415,2.1875,1.4215,0.014,0.013,0.0405,0.092,0.0005,0,0.0295,0.053,0.0475,0.0505,0.05,0.0525,0.051,0.0445,0.0135,0.0365,0.034,0.0005,0,0.0205,0.004,0,0,0.02,0.056,0.189,0.199,0.049,0.0495,0.012,0.009,0.034,0.059,0.049,0.05,0.0455
2024-04-19,0.565,0.575,0.384,0.437,4.5315,4.361,4.005,4.2635,4.331,3.984,3.4025,2.695,0.0445,0.0095,0.1075,0.082,0,0,0.0265,0.0485,0.0575,0.048,0.0205,0.0225,0.0185,0.0255,0.058,0.055,0.051,0.052,0.0545,0.022,0.0225,0.0385,0.093,0.086,0.1495,0.0775,0.0515,0.0715,0.045,0.053,0.0525,0.051,0.0675,0.047,0.017,0.01
2024-04-20,0.1445,0.279,0.2855,0.342,4.2845,3.9745,4.587,3.938,3.95,4.017,3.3365,2.676,0.045,0.008,0,0,0,0,0.011,0,0,0,0,0,0.008,0,0,0,0.007,0.014,0.0075,0.0135,0.006,0,0,0,0.029,0.0525,0.051,0.049,0.053,0.054,0.0485,0.052,0.0445,0.05,0.022,0.008
2024-04-21,0,0.024,0.2695,0.32,3.869,3.917,3.944,3.939,3.95,3.961,3.4355,2.685,0.0645,0.008,0,0,0,0,0.0415,0.383,0.085,0.054,0.0515,0.1745,0.2045,0.042,0.001,0,0,0,0,0,0,0,0.003,0.0005,0.0055,0.054,0.057,0.05,0.049,0.0555,0.0435,0.0165,0.012,0.014,0.0085,0.0075
2024-04-22,0,0.2055,0.274,0.333,3.9925,4.484,4.073,4.755,4.073,4.0645,3.3,2.5485,0.0525,0.008,0.032,0.314,0.027,0,0,0.037,0.0525,0.053,0.0295,0.0485,0.052,0.051,0.053,0.0535,0.0565,0.056,0.0555,0.0295,0.014,0.014,0.017,0.2955,0.193,0.357,0.227,0.809,0.6565,0.707,0.5165,0.5385,0.7265,0.4955,0.4525,0.4
2024-04-23,0.375,1.3475,1.36,0.957,4.1395,5.426,4.406,4.3875,4.498,4.1515,3.615,2.62,0.06,0.016,0.1195,0.007,0,0.0005,0.249,0.139,0.0885,0.4115,0.2135,0.049,0.012,0.0155,0.0185,0.046,0.043,0.0575,0.048,0.0655,0.0405,0.0205,0.001,0.02,0.07,0.276,0.114,0.054,0.0505,0.0115,0.013,0.0125,0.011,0.0145,0.043,0.057
2024-04-24,0.357,0.431,0.3935,0.383,3.899,3.9525,3.9625,3.978,3.987,4.014,3.3875,2.433,0.058,0.012,0,0.0015,0,0,0.001,0.0285,0.054,0.0505,0.0545,0.0475,0.054,0.0505,0.0155,0.0145,0.059,0.052,0.026,0.054,0.075,0.0695,0.151,0.076,0.126,0.038,0.0495,0.048,0.052,0.05,0.054,0.0445,0.051,0.028,0.0125,0.0085
2024-04-25,0.5715,1.1015,0.3135,0.405,3.869,3.905,3.9155,3.941,3.9245,3.9265,3.359,2.6195,0.0605,0.0075,0.1645,0.106,0.0005,0,0,0.018,0.0265,0.0495,0.0435,0.048,0.0375,0.013,0.0035,0,0,0.0285,0.038,0.0265,0.001,0,0.0005,0.001,0.0105,0.02,0.0525,0.0495,0.05,0.0465,0.0545,0.0405,0.0085,0.0185,0.017,0.205
